time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,eval/mean_ep_length,eval/mean_reward
4,4699,-4.2562642097473145,4800,1200.0,0.010072559118270874,-0.9955310225486755,-2.588884499999999,0.017502617090940475,86,55,0.00125,,
8,8474,-5.828649520874023,8575,1071.875,0.012543527409434319,0.14804290235042572,-1.9797503749999992,0.058974869549274445,86,99,0.00125,,
12,11664,-10.54336166381836,11765,980.4166666666666,0.022672343999147415,0.05286295711994171,3.144509500000001,0.27637046575546265,86,135,0.00125,,
16,15738,-16.233089447021484,15839,989.9375,0.042856208980083466,-0.5279725193977356,-4.431495249999999,1.1516203880310059,87,181,0.00125,,
20,20538,-19.789283752441406,20639,1031.95,0.0500776432454586,0.41622409224510193,-5.710364950000001,1.5845495462417603,87,236,0.00125,,
24,25338,-41.135353088378906,25439,1059.9583333333333,0.06539138406515121,0.055255964398384094,-5.547289124999999,8.087784767150879,87,291,0.00125,,
28,30138,-45.83271026611328,30239,1079.9642857142858,0.06621596217155457,-0.5597785115242004,-8.088201214285712,5.961780548095703,87,346,0.00125,,
32,34938,-49.63906478881836,35039,1094.96875,0.06527189910411835,0.039606355130672455,-7.07007446875,3.7289559841156006,86,403,0.00125,,
36,39738,-51.818748474121094,39839,1106.638888888889,0.05750809982419014,0.11363396048545837,-7.916908944444444,4.85152530670166,86,459,0.00125,,
40,44538,-41.0578727722168,44639,1115.975,0.03763454779982567,0.3161619305610657,-10.747324225,2.0072226524353027,86,515,0.00125,,
44,48780,-36.52752685546875,48881,1110.9318181818182,0.03441730886697769,0.24648883938789368,-10.144926,2.320700168609619,86,565,0.00125,,
48,53580,-31.617279052734375,53681,1118.3541666666667,0.025580283254384995,-0.1823241263628006,-10.721046791666666,1.8020567893981934,86,621,0.00125,,
52,58380,-26.249269485473633,58481,1124.6346153846155,0.024600472301244736,-0.662310004234314,-10.886618076923078,1.2991620302200317,86,677,0.00125,,
56,62428,-22.644821166992188,62529,1116.5892857142858,0.02056780643761158,0.044125303626060486,-9.632620714285716,1.185504674911499,86,724,0.00125,,
60,67228,-27.01904296875,67329,1122.15,0.018988264724612236,1.2709729671478271,-9.346717233333335,1.8385709524154663,86,780,0.00125,,
64,71679,-19.230165481567383,71780,1121.5625,0.0183150265365839,-0.08997714519500732,-9.85638334375,0.6936942338943481,86,832,0.00125,,
68,76479,-15.801019668579102,76580,1126.1764705882354,0.014567428268492222,0.2190091907978058,-9.111253882352942,0.8449569940567017,86,888,0.00125,,
72,81279,-11.335636138916016,81380,1130.2777777777778,0.014569845981895924,-0.1910470724105835,-7.980005916666666,0.5189768075942993,86,943,0.00125,,
76,85012,-9.587031364440918,85113,1119.907894736842,0.01344472635537386,1.3056087493896484,-9.157103868421054,0.5181281566619873,86,986,0.00125,,
80,88724,-7.381899833679199,88825,1110.3125,0.011207274161279202,1.0507962703704834,-10.04986845,0.7598741054534912,86,1029,0.00125,,
84,92522,-5.439319133758545,92623,1102.654761904762,0.011314314790070057,-0.043963342905044556,-8.870778785714284,0.5290273427963257,86,1074,0.00125,,
88,97322,-2.831864356994629,97423,1107.0795454545455,0.010629680939018726,0.3410889506340027,-8.555459795454544,0.45998498797416687,86,1129,0.00125,,
,99899,-1.8499966859817505,100000,,0.011114666238427162,-0.4872746169567108,,0.36455202102661133,,,0.00125,1200.0,-3.22712346172666
92,101189,-1.4277037382125854,101290,1100.9782608695652,0.009688950143754482,-0.7459486126899719,-8.607680543478262,0.3977121114730835,84,1193,0.00125,,
96,104903,0.24651259183883667,105004,1093.7916666666667,0.010197640396654606,-0.4389646053314209,-9.476928770833332,0.3303685188293457,84,1236,0.00125,,
100,109703,1.1480648517608643,109804,1098.04,0.010255987755954266,0.6550533175468445,-9.319471999999998,0.35261404514312744,84,1292,0.00125,,
104,114410,2.2903106212615967,114511,1097.11,0.009483705274760723,-0.3451969027519226,-9.45922355,0.3448917269706726,84,1347,0.00125,,
108,118615,3.0750577449798584,118716,1101.41,0.008889146149158478,0.7440589666366577,-9.774381239999999,0.5546567440032959,84,1396,0.00125,,
112,123415,3.2962512969970703,123516,1117.51,0.008918956853449345,-0.8936798572540283,-10.65890471,0.4311511516571045,85,1452,0.00125,,
116,128215,3.326815366744995,128316,1124.77,0.008941623382270336,-0.5954442024230957,-10.02378381,0.31628769636154175,85,1507,0.00125,,
120,133015,4.982746124267578,133116,1124.77,0.008112886920571327,-0.15922600030899048,-8.182779140000001,0.3536186218261719,85,1562,0.00125,,
124,137815,5.843961715698242,137916,1124.77,0.008655862882733345,0.6880866289138794,-8.279389399999998,0.5508424043655396,85,1617,0.00125,,
128,141663,5.789721488952637,141764,1115.25,0.008759082295000553,-0.17506402730941772,-7.27870642,0.3373302221298218,85,1661,0.00125,,
132,146463,6.3886213302612305,146564,1115.25,0.00829037744551897,0.10308593511581421,-7.0536736300000005,0.2812448740005493,85,1716,0.00125,,
136,151190,6.113622665405273,151291,1114.52,0.008607838302850723,1.4004400968551636,-7.941468240000001,0.3961518406867981,85,1771,0.00125,,
140,154872,4.813117980957031,154973,1103.34,0.008428026922047138,1.040510654449463,-6.89965782,0.362653523683548,85,1813,0.00125,,
144,159326,5.227677822113037,159427,1105.46,0.008411465212702751,-0.5810467004776001,-4.75974145,0.30421966314315796,85,1865,0.00125,,
148,164053,5.423397064208984,164154,1104.73,0.00782545655965805,-0.31390440464019775,-2.96578333,0.2546910345554352,85,1919,0.00125,,
152,168853,7.078734397888184,168954,1104.73,0.007365809753537178,0.4009278416633606,-1.2566285300000002,0.4256635308265686,85,1974,0.00125,,
156,173337,5.7810516357421875,173438,1109.09,0.007884128950536251,0.3341878056526184,-1.74942844,0.28922614455223083,85,2026,0.00125,,
160,178137,7.170464992523193,178238,1109.09,0.007258559577167034,-0.549653172492981,-1.4480155200000007,0.3903855085372925,85,2081,0.00125,,
164,182937,7.58644437789917,183038,1112.58,0.0075605097226798534,-1.2658371925354004,-0.9605766700000007,0.42319804430007935,85,2136,0.00125,,
168,187737,7.219844341278076,187838,1112.58,0.007520551793277264,1.5802834033966064,-0.20900050000000012,0.2736697793006897,85,2191,0.00125,,
172,192537,7.08312463760376,192638,1112.58,0.007040851749479771,0.2850871682167053,-0.9589127,0.2811022400856018,85,2246,0.00125,,
176,197337,7.013718128204346,197438,1123.25,0.006856460124254227,0.27643996477127075,0.4097260199999998,0.3073618412017822,85,2301,0.00125,,
,199899,7.50551176071167,200000,,0.006829394027590752,-0.2374507486820221,,0.31164637207984924,,,0.00125,1175.5,26.358768542046125
180,202137,6.999821662902832,202238,1134.13,0.006681350059807301,0.2542884349822998,1.1570677799999998,0.7735701203346252,85,2376,0.00125,,
184,205941,7.916158676147461,206042,1134.19,0.006885642185807228,0.4398217499256134,1.2470260399999997,0.3125891387462616,85,2419,0.00125,,
188,210741,8.061759948730469,210842,1134.19,0.0070101190358400345,-0.026758000254631042,1.4548231600000003,0.33864736557006836,85,2475,0.00125,,
192,215541,7.917697906494141,215642,1143.52,0.0072654783725738525,0.6718109846115112,2.35344831,0.3046151399612427,85,2530,0.00125,,
196,218251,7.987213134765625,218352,1133.48,0.0068987393751740456,0.7550469040870667,4.977422559999999,0.23472526669502258,85,2561,0.00125,,
200,223051,8.162515640258789,223152,1133.48,0.0071464115753769875,-0.14583860337734222,5.95735789,0.3256355822086334,85,2617,0.00125,,
204,227589,8.650888442993164,227690,1131.79,0.00680692819878459,-1.767437219619751,5.94446519,0.2763041853904724,85,2669,0.00125,,
208,230835,8.12778377532959,230936,1122.2,0.007381335832178593,-0.47730332612991333,6.06257697,0.4254736006259918,85,2706,0.00125,,
212,235055,8.411059379577637,235156,1116.4,0.0066894530318677425,0.7825626134872437,6.65882292,0.2677708864212036,85,2755,0.00125,,
216,239855,9.011930465698242,239956,1116.4,0.006854240782558918,0.026134014129638672,7.174959420000001,0.3728933334350586,85,2810,0.00125,,
220,244655,10.327688217163086,244756,1116.4,0.006987818982452154,0.7765247821807861,5.727056550000001,0.4541923999786377,85,2865,0.00125,,
224,249455,9.833134651184082,249556,1116.4,0.007275962270796299,0.8754276037216187,6.21671373,0.4916117489337921,85,2920,0.00125,,
228,253236,9.671167373657227,253337,1115.73,0.006942729000002146,1.2663683891296387,5.717343300000001,0.348125696182251,85,2964,0.00125,,
232,257757,9.775782585144043,257858,1112.94,0.006423350889235735,0.5856227278709412,5.722689750000001,0.3431076407432556,85,3016,0.00125,,
236,261620,10.13271427154541,261721,1104.3,0.0067965141497552395,1.8153462409973145,9.362187299999999,0.3750174343585968,85,3060,0.00125,,
240,266420,10.40391731262207,266521,1115.48,0.006561600603163242,-0.5907905101776123,9.707786599999999,0.38691577315330505,85,3115,0.00125,,
244,271220,10.350442886352539,271321,1118.94,0.006604328285902739,-1.1419997215270996,7.56366429,0.2936416268348694,85,3170,0.00125,,
248,276020,10.933414459228516,276121,1119.67,0.006717287469655275,-0.8867534399032593,7.317592000000001,0.39525413513183594,85,3225,0.00125,,
252,280820,11.149441719055176,280921,1119.67,0.006848575547337532,-0.01481848955154419,6.57293316,0.3408187925815582,85,3280,0.00125,,
256,285620,11.141619682312012,285721,1122.83,0.00669722817838192,0.4181634783744812,5.93649492,0.4497109353542328,85,3336,0.00125,,
260,290420,10.798145294189453,290521,1122.83,0.006409781519323587,0.22032976150512695,5.221901680000002,0.3866533637046814,85,3391,0.00125,,
264,295220,10.949380874633789,295321,1122.83,0.005922108422964811,0.13917292654514313,5.43009553,0.4881789982318878,85,3447,0.00125,,
268,298721,11.012286186218262,298822,1109.84,0.006420101970434189,-0.4280186891555786,5.82196144,0.3473523259162903,85,3487,0.00125,,
,299899,11.479748725891113,300000,,0.006071553565561771,-1.0149468183517456,,0.36875975131988525,,,0.00125,1146.7,-2.22782352060047
272,303521,11.774225234985352,303622,1109.84,0.006384864915162325,0.5041346549987793,5.976087130000001,0.40206390619277954,85,3562,0.00125,,
276,308321,11.616589546203613,308422,1109.84,0.006001610774546862,-0.08679205179214478,4.7445824199999995,0.4280974864959717,85,3617,0.00125,,
280,312803,11.574512481689453,312904,1106.66,0.006646542344242334,0.01773160696029663,5.512651369999999,0.614615797996521,85,3668,0.00125,,
284,317015,11.812016487121582,317116,1110.74,0.00642567640170455,-0.11000335216522217,5.040912719999998,0.33502888679504395,85,3717,0.00125,,
288,321815,12.15825366973877,321916,1110.74,0.006369833834469318,-1.404050350189209,4.745792849999999,0.4251895546913147,85,3773,0.00125,,
292,326615,12.458632469177246,326716,1110.74,0.006079103332012892,-1.0898364782333374,4.42764562,0.36972755193710327,85,3828,0.00125,,
296,331415,12.010986328125,331516,1131.64,0.005957410670816898,0.5406944155693054,3.3381832599999997,0.3517330586910248,85,3883,0.00125,,
300,335049,12.864448547363281,335150,1119.98,0.006044063251465559,0.4417095482349396,2.2208676300000003,0.46211907267570496,85,3925,0.00125,,
304,339849,12.35910415649414,339950,1122.6,0.0060867369174957275,-0.07862997055053711,3.6457836400000003,0.4247833788394928,85,3981,0.00125,,
