time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
94,1177.9354838709678,391,18,36864,-11.392065548387096,0.016510050743818283,170,0.023039246,0.9800370931625366,0.32557381975930183,0.8349911421537399,-0.018841354369942564,0.003,0.203564453125,-2.804366139322519,0.2,,
99,1178.625,391,19,38912,-11.8589248125,0.03375142440199852,180,0.02105826,0.9739091396331787,0.1893953331920784,0.9195390418171883,-0.013801735287415795,0.003,0.21396484375,-2.798182275146246,0.2,,
104,1179.8823529411766,390,20,40960,-11.747133147058824,-0.018071681261062622,190,0.025475651,0.9680227637290955,0.0969764947425574,0.9101559370756149,-0.015184058065642603,0.003,0.2458984375,-2.7704576894640924,0.2,,
110,1181.0,390,21,43008,-12.184107944444445,0.0414690300822258,200,0.027628481,0.9693467617034912,0.16514213635819033,0.880401648581028,-0.016336852763197386,0.003,0.254736328125,-2.780412980169058,0.2,,
115,1182.0,390,22,45056,-12.186702868421053,0.01713598519563675,210,0.021644821,0.9494538307189941,0.1602951089851558,0.7025914490222931,-0.01528298055200139,0.003,0.213330078125,-2.741711611300707,0.2,,
120,1182.4615384615386,390,23,47104,-12.512258051282052,0.002326376736164093,220,0.034347903,0.9055086374282837,0.12278755399165675,0.536754846572876,-0.016578506515361368,0.003,0.27158203125,-2.643983333557844,0.2,,
125,1183.3170731707316,390,24,49152,-12.359598317073171,0.02343369647860527,230,0.029222412,0.9254909157752991,0.21667332019424065,0.41078048944473267,-0.012397546040301678,0.003,0.241259765625,-2.6545803770422935,0.2,,
131,1184.093023255814,390,25,51200,-12.567787186046512,0.026141881942749023,240,0.027697302,0.8958995342254639,0.16297499526990578,0.139515221118927,-0.015375947994471062,0.003,0.24169921875,-2.642519713938236,0.2,,
136,1184.4545454545455,389,26,53248,-12.98496540909091,0.06894920766353607,250,0.027183246,0.8916441202163696,0.18871793032158166,0.8395723551511765,-0.00712374321592506,0.003,0.233837890625,-2.607662707567215,0.2,,
141,1185.1304347826087,390,27,55296,-12.875127478260868,0.0013760440051555634,260,0.02748299,0.888891875743866,0.0922983921249397,0.9094442948698997,-0.013675614139356185,0.003,0.2490234375,-2.6052824735641478,0.2,,
146,1185.75,390,28,57344,-12.747998,-0.011619079858064651,270,0.023394981,0.8810023069381714,0.08852161478134804,0.7604771852493286,-0.013867532086442225,0.003,0.23046875,-2.608294966816902,0.2,,
152,1186.32,390,29,59392,-12.715337240000002,0.014027468860149384,280,0.028590582,0.8716267347335815,0.196471505635418,0.10069161653518677,-0.0165199230905273,0.003,0.273486328125,-2.5596145890653133,0.2,,
157,1186.5882352941176,389,30,61440,-12.843827137254904,0.01136796548962593,290,0.0387281,0.855900228023529,0.13834137074882163,0.34443044662475586,-0.015974383472348565,0.003,0.2763671875,-2.5323764085769653,0.2,,
