r,l,t
-40.052295,1200,11.406597
-2.5008,1200,20.676585
-16.050551,1200,29.812285
2.608844,1200,38.635037
-28.702879,1200,47.583258
-16.585848,1200,56.534495
39.312385,1200,65.420979
-9.928453,65,65.886317
21.232943,1200,74.604726
-1.336075,1200,83.483919
-6.901956,1200,92.308641
17.266757,1200,101.23675
21.538485,1200,110.144901
-10.29482,1200,118.995935
-4.790866,1200,128.071529
1.391007,1200,136.908877
-28.150483,1200,145.741154
-8.292723,1200,154.565788
-9.176894,1200,163.431759
-29.610948,1200,172.616613
-3.902217,1200,181.489881
39.372355,142,182.571674
-16.223627,1200,191.410061
-18.503906,1200,200.431758
-16.040743,1200,209.609694
-22.346653,1200,218.664292
-14.637532,1200,227.690715
-15.200648,1200,236.76686
-22.864781,1200,246.099477
29.601598,347,248.719805
-17.232272,1200,257.80185
-21.046726,1200,266.881981
-28.162366,1200,275.917871
-65.059241,1200,285.209071
-4.172037,1200,294.580087
-21.765725,1200,303.892408
-13.264086,1200,313.10315
-20.495173,1200,322.315064
-16.605988,1200,331.573556
-28.956176,1200,340.642685
-27.233675,1200,349.835618
-17.875712,1200,359.13664
29.61912,1200,368.457478
-17.340573,1200,377.666087
-20.088163,1200,386.71945
-19.61796,1200,395.941999
-9.931879,1200,404.908771
-19.921811,1200,414.003288
12.312937,1200,422.963874
-27.489136,1200,432.011362
-20.4751,1200,441.068479
-20.360486,1200,449.943176
-35.799584,1200,459.073812
39.51821,1200,468.205025
-16.273305,1200,477.16327
-28.094749,1200,486.188002
-17.621841,1200,495.942428
-4.091112,1200,504.948126
-5.826397,1200,513.822058
-17.278486,1200,522.865979
-25.635722,1200,531.805977
-13.47357,1200,541.417934
-7.617784,1200,550.273561
-37.299744,1200,559.34345
9.928243,1200,568.446619
-26.489222,1200,577.450246
-17.388462,1200,586.336276
-17.150965,1200,595.132336
10.075047,1200,603.864546
-43.665245,1200,612.887963
-71.955376,1200,621.823334
-27.022903,1200,630.747266
-14.940308,1200,639.781762
-15.590031,1200,648.788827
-39.852273,1200,657.763044
-8.733249,1200,666.628112
-14.785232,1200,675.454956
-21.884889,1200,684.391286
1.877888,1200,693.360636
19.544504,1200,702.149638
-24.764724,1200,711.731011
-7.961896,1200,720.555807
-27.386947,1200,729.659832
-10.786026,1200,738.653998
-31.375001,1200,747.60394
-26.81299,1200,756.422314
66.955322,1010,763.984048
-34.308116,1200,772.810939
-24.613199,1200,781.603219
-14.594586,1200,790.621004
