train/critic_loss,train/n_updates,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/learning_rate,eval/mean_reward,eval/mean_ep_length
0.002902017207816243,4699,4,1200.0,-15.0509605,139,-2.0376338958740234,34,4800,0.000625,,
0.014848284423351288,9499,8,1200.0,-7.873042999999999,141,-6.604175567626953,67,9600,0.000625,,
0.015546302311122417,13327,12,1119.0,-10.345460166666665,141,-10.560591697692871,95,13428,0.000625,,
0.03888936713337898,18127,16,1139.25,-10.9889485625,141,-14.033003807067871,129,18228,0.000625,,
0.07563631981611252,22141,20,1112.1,-11.34437985,141,-19.356056213378906,157,22242,0.000625,,
0.0846521183848381,26941,24,1126.75,-11.062530333333333,141,-23.698081970214844,191,27042,0.000625,,
0.09871518611907959,31632,28,1133.3214285714287,-12.024004571428572,141,-26.67412567138672,224,31733,0.000625,,
0.21272407472133636,36432,32,1141.65625,-11.936096468749998,141,-28.95932960510254,258,36533,0.000625,,
0.21362760663032532,41232,36,1148.138888888889,-11.206345861111108,141,-33.281986236572266,291,41333,0.000625,,
0.2862620949745178,45005,40,1127.65,-12.907427725,141,-35.54087448120117,318,45106,0.000625,,
0.5465661287307739,49747,44,1132.909090909091,-12.344295227272728,141,-38.31980514526367,352,49848,0.000625,,
0.5468931198120117,54547,48,1138.5,-12.794875520833331,141,-40.81023025512695,386,54648,0.000625,,
0.4242134094238281,59347,52,1143.2307692307693,-12.177004653846154,141,-43.1616325378418,420,59448,0.000625,,
0.4579669237136841,63014,56,1127.0535714285713,-10.054122642857143,141,-43.563941955566406,446,63115,0.000625,,
1.0284197330474854,66991,60,1118.2,-9.149306833333332,141,-46.96712875366211,474,67092,0.000625,,
0.5899643898010254,70992,64,1110.828125,-7.674471078125,141,-50.168479919433594,502,71093,0.000625,,
0.8300697803497314,75792,68,1116.0735294117646,-8.659828676470587,141,-51.84909439086914,536,75893,0.000625,,
0.8181084394454956,80592,72,1120.736111111111,-8.740463124999998,141,-53.28120803833008,570,80693,0.000625,,
0.9200066924095154,85392,76,1124.907894736842,-8.803052631578947,141,-55.5051155090332,604,85493,0.000625,,
0.9260901212692261,90192,80,1128.6625,-9.545721724999998,141,-55.8747444152832,638,90293,0.000625,,
0.9713032245635986,94992,84,1132.0595238095239,-8.906504761904761,141,-55.27738952636719,672,95093,0.000625,,
0.9221735000610352,99792,88,1135.1477272727273,-8.458937829545455,141,-53.94860076904297,706,99893,0.000625,,
0.913077712059021,99899,,,,,-55.053794860839844,,100000,0.000625,7.824235971787493,1133.2
0.7553144693374634,104592,92,1137.9673913043478,-7.4209229021739125,138,-53.363426208496094,755,104693,0.000625,,
1.2358933687210083,109392,96,1140.5520833333333,-7.825634666666666,138,-52.201595306396484,789,109493,0.000625,,
0.6798834800720215,114192,100,1142.93,-7.987652419999998,138,-50.82329559326172,823,114293,0.000625,,
0.8595073223114014,117179,104,1124.8,-6.805994420000001,138,-50.965301513671875,844,117280,0.000625,,
0.7242734432220459,121979,108,1124.8,-7.10440473,138,-46.67213821411133,878,122080,0.000625,,
0.9642925262451172,126779,112,1134.52,-7.4241516600000015,138,-46.879066467285156,913,126880,0.000625,,
0.7712987661361694,131579,116,1134.52,-7.460035799999998,139,-44.01913070678711,947,131680,0.000625,,
0.6321141719818115,136379,120,1142.38,-7.153498669999998,139,-42.979156494140625,980,136480,0.000625,,
0.54911208152771,141179,124,1142.38,-7.86660389,139,-41.517704010009766,1014,141280,0.000625,,
0.6893681883811951,145979,128,1143.47,-7.063993849999999,139,-41.359947204589844,1048,146080,0.000625,,
0.6738672256469727,150779,132,1143.47,-6.2550346,139,-39.01691436767578,1081,150880,0.000625,,
0.6802952289581299,155579,136,1143.47,-5.867189509999999,139,-37.44887924194336,1115,155680,0.000625,,
0.6393879652023315,160359,140,1153.54,-3.9361574499999996,139,-35.120460510253906,1149,160460,0.000625,,
0.4431648254394531,165159,144,1154.12,-3.4213874100000004,139,-34.64875793457031,1183,165260,0.000625,,
0.6101682186126709,168784,148,1142.37,-3.0065854199999995,139,-34.49729919433594,1208,168885,0.000625,,
0.5504363179206848,173584,152,1142.37,-3.6468927799999995,139,-32.155982971191406,1242,173685,0.000625,,
0.4280986189842224,178384,156,1153.7,-5.38157013,139,-28.857463836669922,1276,178485,0.000625,,
0.6304764151573181,182292,160,1153.01,-6.146321269999999,139,-28.69485092163086,1304,182393,0.000625,,
0.8879806995391846,185425,164,1144.33,-6.6829516899999994,139,-28.629688262939453,1326,185526,0.000625,,
0.5195794105529785,189285,168,1134.93,-6.6519680999999995,139,-27.43054962158203,1354,189386,0.000625,,
0.46703052520751953,193288,172,1126.96,-5.718920740000001,139,-27.521541595458984,1383,193389,0.000625,,
0.46086910367012024,198088,176,1126.96,-3.5689407399999995,139,-25.842453002929688,1417,198189,0.000625,,
0.9856411814689636,199899,,,,,-25.96707534790039,,200000,0.000625,15.620015955259897,1141.9
0.4527035653591156,201225,180,1110.33,-1.1785909699999997,138,-25.47957420349121,1455,201326,0.000625,,
0.4800577163696289,205142,184,1101.5,-0.74352601,138,-24.58252716064453,1483,205243,0.000625,,
0.4483290910720825,209942,188,1101.5,-0.8020507399999999,138,-24.6627197265625,1517,210043,0.000625,,
0.42149680852890015,213725,192,1091.33,0.1732845600000001,138,-23.521774291992188,1544,213826,0.000625,,
0.4448148012161255,217280,196,1078.88,1.0752351399999998,138,-23.63381576538086,1569,217381,0.000625,,
