r,l,t
24.709578,1200,12.705794
-22.125553,1200,26.484231
12.975161,1200,40.599553
-24.425416,1200,54.644827
-32.229479,1200,68.732846
52.146493,1200,82.77455
19.448611,1200,96.796885
-5.680182,1200,110.792692
-24.91017,1137,123.887197
98.459196,253,126.838624
-7.028001,1200,140.579886
99.797376,1200,154.422059
-2.293498,1200,168.436257
3.864038,1200,182.486868
29.250465,34,182.877291
42.143106,1200,196.688151
-5.842014,1200,210.86442
25.259801,1200,225.199876
1.99119,1200,239.07951
3.078437,1200,252.985545
-10.796766,1200,266.859143
-12.483016,1200,280.896645
37.71763,1200,294.920792
55.005859,1200,308.825193
-14.652282,216,311.327285
48.319842,1200,325.186476
-14.993755,1200,339.260226
1.931754,1200,353.008475
35.255702,644,360.33795
-13.132401,1200,374.208203
-4.162222,1200,388.142494
-4.694304,1200,402.136655
-15.454791,1200,415.832127
-14.609624,1200,429.66432
27.074813,1200,443.555595
-34.671093,1200,457.584308
-11.797228,1200,471.635973
-2.272328,1200,485.664049
-15.754975,1200,499.65648
-7.982514,1200,513.680825
-14.93877,1200,527.762462
1.393994,1200,541.797359
-13.729064,1200,555.661697
18.011432,1200,569.947748
46.634841,1200,583.958197
5.567975,1200,597.917397
81.562198,1200,611.787524
28.598565,1200,625.886215
-10.295349,1200,639.927151
-11.213116,1200,653.965776
-28.274769,1200,667.842264
-0.113118,1200,682.05212
-5.906325,1200,696.277524
-10.235925,1200,710.51094
45.941883,1200,724.324681
-7.234701,1200,738.216231
-7.09502,1200,752.624773
-27.046145,1200,766.684917
25.11528,1200,780.63651
-49.365045,1200,794.640729
3.648926,1200,808.441324
-12.023737,1200,822.317699
-6.521227,1200,836.19365
4.313513,1200,850.121888
-5.815549,1200,864.086444
8.513024,1200,878.100221
6.837211,1200,892.075892
-2.355178,1200,906.180694
-7.621035,1200,920.167882
-17.248711,1200,933.984486
-26.063614,1200,948.18832
-24.201271,203,950.636245
0.217406,1200,964.48286
-15.709821,1200,978.311369
-4.321816,1200,992.274841
1.116268,1200,1006.286391
-9.701975,1200,1020.145263
-17.669682,1200,1034.106321
87.077687,1200,1048.123995
-13.848492,1200,1062.054908
-11.229871,1200,1076.169485
5.910591,1200,1090.181907
-22.399582,1200,1104.042324
-20.527334,1200,1118.029088
-17.170166,1200,1131.983644
-26.961334,1200,1145.890245
-42.706784,1200,1159.803307
-4.032074,1200,1173.677154
-9.729835,1200,1187.595333
-25.64149,1200,1201.610514
-15.540227,1200,1215.566679
-13.472817,1200,1229.38873
-22.663283,1200,1243.058354
-21.805147,1200,1256.871072
-1.624412,1200,1270.547486
-10.986516,1200,1284.289687
30.232781,1200,1298.055013
-26.066394,1200,1311.877432
-22.39918,1200,1325.767896
-4.836212,1200,1339.559401
-19.467628,1200,1353.568525
63.969875,62,1354.283917
1.267833,1200,1368.203765
-49.802689,1200,1382.263431
-14.586076,1200,1396.256901
-43.23019,1200,1410.121988
-17.564355,1200,1424.117108
19.133211,1200,1438.193351
-5.181006,1200,1452.196805
6.552038,1200,1466.172863
-17.438521,1200,1480.391262
-21.320909,1200,1494.296606
-19.437983,1200,1508.363207
-11.321406,1200,1522.135018
33.975413,1200,1536.01835
-16.421373,1200,1550.083191
33.383734,1200,1563.84162
-9.091122,1200,1577.596049
-31.001647,1200,1591.445124
-26.840658,329,1595.22661
-11.303323,1200,1609.223601
-15.524686,1200,1623.155021
